"Table Name","Column Name","Description","UDT Name","Max.Length","Data Type","Primary Key"
"air_temp","airtemp_id","id for air temperature","int4",NULL,"integer","YES"
"air_temp","station_id","id for weather station","varchar",4,"character varying","NO"
"air_temp","temperature","Air temperature in degree celcius","numeric",NULL,"numeric","NO"
"air_temp","airtemp_date","Timestamp (per hour) of air temperature","timestamp",NULL,"timestamp without time zone","NO"
"humidity","humidity_id","id for humidity reading","int4",NULL,"integer","YES"
"humidity","station_id","id for weather station","varchar",4,"character varying","NO"
"humidity","humidity_date","Timestamp (per hour) of humidity reading","timestamp",NULL,"timestamp without time zone","NO"
"humidity","humidity_readings","Relative humidity (%)","numeric",NULL,"numeric","NO"
"locations","town_id","id for town","int4",NULL,"integer","YES"
"locations","town_name","town name of resale flat","varchar",20,"character varying","NO"
"locations","region","central, north, south, east, west regions for psi and pm2.5 readings","varchar",10,"character varying","NO"
"locations","station_id","id for weather station","varchar",4,"character varying","NO"
"resale_flat_txn","resale_id","id for resale flat","int4",NULL,"integer","YES"
"resale_flat_txn","resale_date","transaction date (YYYY-MM) of resale flat","date",NULL,"date","NO"
"resale_flat_txn","town_name","town name of resale flat","varchar",20,"character varying","NO"
"resale_flat_txn","flat_type","flat type of resale flat","varchar",20,"character varying","NO"
"resale_flat_txn","block_no","block number of resale flat","varchar",5,"character varying","NO"
"resale_flat_txn","street_name","street name  of resale flat","varchar",30,"character varying","NO"
"resale_flat_txn","storey_range","storey range of resale flat","varchar",10,"character varying","NO"
"resale_flat_txn","floor_area_sqm","floor area in square meter","float8",NULL,"double precision","NO"
"resale_flat_txn","flat_model","flat model of resale flat","varchar",30,"character varying","NO"
"resale_flat_txn","lease_commence_year","lease commence year","int4",NULL,"integer","NO"
"resale_flat_txn","remaining_lease","remaining lease (years and months)","varchar",20,"character varying","NO"
"resale_flat_txn","resale_price","pricing of resale flat","float8",NULL,"double precision","NO"
"station","station_id","id for weather station","varchar",4,"character varying","NO"
"station","station_name","name of weather station","varchar",30,"character varying","NO"
"station","device_id","device id of weather station","varchar",4,"character varying","NO"
"station","latitude","latitude of weather station","numeric",NULL,"numeric","NO"
"station","longitude","longitude of weather station","numeric",NULL,"numeric","NO"
